Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/agent_infos/final/logpi Max,evaluation/agent_infos/final/logpi Mean,evaluation/agent_infos/final/logpi Min,evaluation/agent_infos/final/logpi Std,evaluation/agent_infos/initial/logpi Max,evaluation/agent_infos/initial/logpi Mean,evaluation/agent_infos/initial/logpi Min,evaluation/agent_infos/initial/logpi Std,evaluation/agent_infos/logpi Max,evaluation/agent_infos/logpi Mean,evaluation/agent_infos/logpi Min,evaluation/agent_infos/logpi Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/agent_infos/final/logpi Max,exploration/agent_infos/final/logpi Mean,exploration/agent_infos/final/logpi Min,exploration/agent_infos/final/logpi Std,exploration/agent_infos/initial/logpi Max,exploration/agent_infos/initial/logpi Mean,exploration/agent_infos/initial/logpi Min,exploration/agent_infos/initial/logpi Std,exploration/agent_infos/logpi Max,exploration/agent_infos/logpi Mean,exploration/agent_infos/logpi Min,exploration/agent_infos/logpi Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,trainer/Extrinsic Advantages Max,trainer/Extrinsic Advantages Mean,trainer/Extrinsic Rewards Max,trainer/Extrinsic Rewards Mean,trainer/Intrinsic Advantages Max,trainer/Intrinsic Advantages Mean,trainer/Intrinsic Rewards Max,trainer/Intrinsic Rewards Mean,trainer/Intrinsic Rewards Raw Max,trainer/Intrinsic Rewards Raw Mean,trainer/Intrinsic Targets Max,trainer/Intrinsic Targets Mean,trainer/Intrinsic Value Loss,trainer/KL Div Max,trainer/KL Div Mean,trainer/KL Div Min,trainer/KL Div Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Value Estimates Max,trainer/Value Estimates Mean,trainer/Value Estimates Min,trainer/Value Estimates Std,trainer/Value Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.000268166,0.000214601,0.000161037,5.35642e-05,-51.6093136942,6,-33.0923268611,-51.6093136942,-62.8400480918,10.1814029917,-0.220615512407,-0.344062091295,-0.418933653946,0.0678760199447,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6,900,150,150.0,150,0.0,0.999731,0.0296575,-0.999675,0.617823,-40.1027101948,140,-10.3428143904,-40.1027101948,-74.1973895613,14.7157197887,-0.0906517196048,-0.274139620472,-0.494649263742,0.0985662070139,-0.559906482697,-1.36310936042,-2.94360780716,0.328613620225,-0.43782377243,-1.32369946412,-1.82402217388,0.314359813001,-0.386452674866,-1.34226968632,-4.49591159821,0.298276928147,140,20480,150,146.285714286,98,13.3920475946,1.92546,-1.96509e-07,-0.0906517,-0.254919,8.0832e+10,6.16687e+10,4.0511e+09,3.54471e+09,40.511,40.511,8.0832e+10,6.16687e+10,4.59864e+21,1.43051e-06,1.39698e-09,-9.53674e-07,2.46316e-07,-0.569768,-1.34175,-2.07662,0.299791,1.82539e-07,-0.00139839,-0.00139839,-0.00139839,1.16415e-10,18.4678,1000,0.000268165,0.000214601,0.000161037,5.35643e-05,-0.000366576,-0.000580681,-0.000794786,0.000214105,0.999633,0.99942,0.999206,0.000213981
1,0.141983,0.118976,0.0959686,0.0230074,-39.6964842044,6,-23.8882119867,-39.6964842044,-61.8347267114,13.3109083948,-0.159254746578,-0.264643228029,-0.41223151141,0.0887393892985,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12,1800,150,150.0,150,0.0,0.999388,0.0288641,-0.998268,0.600836,-42.084666387,140,-10.0719667414,-42.084666387,-74.7882476518,13.7892168958,-0.0671464449425,-0.28768814913,-0.498588317679,0.0919655371898,-0.92250919342,-1.38448268005,-2.56543827057,0.210025511249,-0.444226264954,-1.37812033636,-2.80536699295,0.245375262447,-0.289744853973,-1.35570958374,-3.90441989899,0.229508732576,280,40960,150,146.285714286,98,13.3920475946,3.91165,-7.45058e-09,-0.129029,-0.289613,8.0832e+10,6.3745e+10,4.0511e+09,3.65548e+09,40.511,40.511,8.0832e+10,6.3745e+10,4.75573e+21,2.38419e-06,-2.56114e-08,-6.67572e-06,5.903e-07,-0.374479,-1.32893,-2.58745,0.327177,1.39698e-08,-15.1903,-15.1903,-15.1903,1.90735e-06,15.2568,2000,0.141983,0.118976,0.0959686,0.0230074,0.00685885,-0.0458976,-0.098654,0.0527564,1.00688,0.956469,0.906056,0.0504131
2,0.100384,0.0585184,0.0166531,0.0418653,-51.9583134865,6,-37.9902990432,-51.9583134865,-71.7932867637,11.8233066261,-0.253268660288,-0.346388756577,-0.478621911758,0.078822044174,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18,2700,150,150.0,150,0.0,0.999508,0.0342813,-0.998692,0.586596,-43.1687197601,140,-10.3746546148,-43.1687197601,-73.9162244613,15.3924199875,-0.0819071628447,-0.295098670235,-0.492774829742,0.0983904165775,-0.839400291443,-1.36149638636,-2.47345685959,0.205297214982,-0.72406744957,-1.36027116009,-2.76441860199,0.234468048939,-0.684851884842,-1.35993397729,-5.12064599991,0.210697161042,420,61440,150,146.285714286,98,13.3920475946,3.83535,0.0,-0.0819072,-0.300484,8.0832e+10,6.2828e+10,4.0511e+09,3.56054e+09,40.511,40.511,8.0832e+10,6.2828e+10,4.69362e+21,1.43051e-06,2.14204e-08,-1.19209e-06,2.47527e-07,-0.852706,-1.35558,-1.97701,0.188652,-2.98023e-08,-16.8609,-16.8609,-16.8609,0.0,13.9725,3000,0.100384,0.0585184,0.0166531,0.0418653,-0.093175,-0.125169,-0.157162,0.0319935,0.911034,0.8828,0.854566,0.0282342
3,0.0798657,0.0441559,0.00844615,0.0357098,-31.1843620263,6,-13.7265773857,-31.1843620263,-48.2144647213,13.2460735438,-0.0915105159046,-0.207895746842,-0.321429764808,0.0883071569588,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,24,3600,150,150.0,150,0.0,0.996955,0.0801001,-0.996338,0.560517,-41.3333468291,140,-9.64598948181,-41.3333468291,-74.7235812689,14.19773836,-0.0940208693987,-0.28255217559,-0.498157208459,0.0957384540862,-0.845760345459,-1.34394804495,-2.26098823547,0.258211364099,-0.848472714424,-1.3360689904,-2.68965578079,0.2653613418,-0.614122390747,-1.33107804253,-5.36605548859,0.287184627659,560,81920,150,146.285714286,98,13.3920475946,3.4627,-7.45058e-09,-0.0984285,-0.270276,8.0832e+10,6.09063e+10,4.0511e+09,3.57636e+09,40.511,40.511,8.0832e+10,6.09063e+10,4.52922e+21,7.15256e-07,3.72529e-09,-7.15256e-07,1.86971e-07,-0.966549,-1.35227,-1.95402,0.150264,-1.39698e-08,-16.2905,-16.2905,-16.2905,1.90735e-06,20.6047,4000,0.0798657,0.0441559,0.00844615,0.0357098,-0.137315,-0.145666,-0.154018,0.00835142,0.871696,0.864476,0.857257,0.00721943
4,0.16229,0.114461,0.0666309,0.0478297,-44.5851056657,6,-24.7775688216,-44.5851056657,-67.7559139466,15.5973574759,-0.165183792144,-0.297234037771,-0.451706092977,0.103982383173,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4500,150,150.0,150,0.0,0.997543,0.150489,-0.991923,0.537286,-41.4929160945,140,-14.1096847494,-41.4929160945,-74.1488977799,13.3019815032,-0.094064564996,-0.283642981114,-0.494325985199,0.0859724928831,-0.51518368721,-1.21821242273,-3.66134333611,0.485403041497,-0.4685972929,-1.2518112089,-3.11235713959,0.415467105998,-0.400374412537,-1.25640708408,-5.45077753067,0.430040908818,700,102400,150,146.285714286,98,13.3920475946,3.5779,-7.45058e-09,-0.134613,-0.240265,8.08301e+10,6.01499e+10,4.0511e+09,3.57636e+09,40.511,40.511,8.08301e+10,6.01499e+10,4.42695e+21,1.43051e-06,3.74857e-08,-9.53674e-07,2.20131e-07,-0.90145,-1.32019,-3.66134,0.301418,-1.58325e-08,-16.5953,-16.5953,-16.5953,1.90735e-06,19.3836,5000,0.16229,0.114461,0.0666309,0.0478297,-0.197953,-0.242434,-0.286916,0.0444819,0.820409,0.785492,0.750575,0.0349171
5,0.306787,0.256205,0.205623,0.0505822,-36.378586975,6,-32.0729898396,-36.378586975,-40.6471014297,3.84544042004,-0.213819932264,-0.242523913167,-0.270980676198,0.0256362694669,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36,5400,150,150.0,150,0.0,0.996033,0.1754,-0.989575,0.517795,-40.0698832665,140,-12.8472717898,-40.0698832665,-74.3574918312,15.5525753606,-0.0946375902765,-0.273915217642,-0.495716612208,0.102335083304,-0.449127435684,-1.16065031929,-3.53690195084,0.472654870828,-0.495287656784,-1.24310985208,-3.13179683685,0.466011770881,-0.430671930313,-1.20290139284,-6.02666187286,0.484586003178,840,122880,150,146.285714286,98,13.3920475946,4.2146,1.86265e-09,-0.0946376,-0.276943,8.0832e+10,6.2013e+10,4.0511e+09,3.51306e+09,40.511,40.511,8.0832e+10,6.2013e+10,4.65863e+21,9.53674e-07,-7.21775e-09,-1.19209e-06,2.26945e-07,-0.515068,-1.20415,-2.82575,0.453559,-1.02445e-08,-16.6262,-16.6262,-16.6262,1.90735e-06,15.5183,6000,0.306787,0.256205,0.205623,0.0505822,-0.305213,-0.339293,-0.373373,0.03408,0.736967,0.712688,0.688409,0.024279
6,0.357048,0.232083,0.107117,0.124966,-30.4514691503,6,-23.739994896,-30.4514691503,-38.6295372165,5.04424226722,-0.15826663264,-0.203009794335,-0.25753024811,0.0336282817815,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,42,6300,150,150.0,150,0.0,0.995588,0.148652,-0.993499,0.532364,-42.9636738884,140,-12.9939229395,-42.9636738884,-74.8921741598,15.5639965963,-0.099872751854,-0.293696989472,-0.499281161066,0.101732037269,-0.502280592918,-1.21064194654,-3.19760084152,0.455754865656,-0.483883142471,-1.21800959238,-4.98300457001,0.586053945412,-0.408632874489,-1.19276029792,-5.49991321564,0.497823265394,980,143360,150,146.285714286,98,13.3920475946,3.68847,-8.3819e-09,-0.168045,-0.304302,8.08281e+10,6.39806e+10,4.0511e+09,3.63966e+09,40.511,40.511,8.08281e+10,6.39806e+10,4.84416e+21,1.43051e-06,-1.28057e-08,-4.76837e-07,2.43635e-07,-0.554391,-1.19231,-4.47785,0.492909,1.86265e-09,-16.2179,-16.2179,-16.2179,0.0,19.3372,7000,0.357048,0.232083,0.107117,0.124966,-0.285647,-0.342308,-0.398969,0.0566608,0.751528,0.71127,0.671012,0.040258
7,0.323726,0.167399,0.0110721,0.156327,-42.1051118146,6,-19.7753406003,-42.1051118146,-65.2085319562,13.4214578542,-0.131835604002,-0.280700745431,-0.434723546374,0.0894763856946,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,48,7200,150,150.0,150,0.0,0.995091,0.147854,-0.990658,0.486417,-42.7070159345,140,-10.017194134,-42.7070159345,-73.6188986144,15.1034422097,-0.0940033043725,-0.29194249174,-0.490792657429,0.095962573926,-0.531624913216,-1.21221786056,-3.0895652771,0.507504108915,-0.429482102394,-1.19836567044,-5.70922756195,0.686936210971,-0.421656012535,-1.14884314017,-7.76229286194,0.512670332525,1120,163840,150,146.285714286,98,13.3920475946,3.59104,-7.45058e-09,-0.139944,-0.330517,8.08281e+10,6.03176e+10,4.0511e+09,3.46559e+09,40.511,40.511,8.08281e+10,6.03176e+10,4.56453e+21,1.19209e-06,-5.44824e-08,-1.90735e-06,2.45816e-07,-0.733074,-1.21283,-3.57139,0.474827,2.06055e-08,-16.571,-16.571,-16.571,0.0,22.3228,8000,0.323726,0.167399,0.0110721,0.156327,-0.309302,-0.37627,-0.443239,0.0669684,0.733959,0.687957,0.641954,0.0460026
8,0.21156,0.148004,0.084448,0.0635561,-37.0622716023,6,-15.3442184608,-37.0622716023,-50.3019144446,11.095034152,-0.102294789739,-0.247081810682,-0.335346096297,0.0739668943464,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54,8100,150,150.0,150,0.0,0.992871,0.118385,-0.991468,0.467877,-42.3263903437,140,-13.8174468842,-42.3263903437,-74.1123687097,14.1458404348,-0.0921163125614,-0.28934055899,-0.494082458065,0.0930890090769,-0.563074350357,-1.0611328985,-4.33953523636,0.560973356524,-0.561635911465,-1.1274059615,-3.25353431702,0.565187376481,-0.544128954411,-1.07547734444,-6.99100494385,0.529117025044,1260,184320,150,146.285714286,98,13.3920475946,4.91481,3.72529e-09,-0.144434,-0.281881,8.0832e+10,6.24167e+10,4.0511e+09,3.56054e+09,40.511,40.511,8.0832e+10,6.24167e+10,4.64338e+21,5.96046e-07,-6.28643e-09,-1.19209e-06,2.52281e-07,-0.574249,-1.05657,-3.09283,0.47923,-3.56231e-08,-16.9223,-16.9223,-16.9223,1.90735e-06,11.5153,9000,0.21156,0.148004,0.084448,0.0635561,-0.486783,-0.571571,-0.65636,0.0847885,0.6146,0.566668,0.518736,0.0479321
9,0.270536,0.163319,0.0561026,0.107217,-36.1477309541,6,-20.7522943679,-36.1477309541,-53.9886256592,13.6266462441,-0.138348629119,-0.240984873027,-0.359924171062,0.0908443082937,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,60,9000,150,150.0,150,0.0,0.98703,0.0847226,-0.989024,0.458008,-40.0530556239,140,-13.3219876569,-40.0530556239,-71.5224599258,13.5636755913,-0.0888132510459,-0.273800184929,-0.476816399505,0.0914460147949,-0.420688450336,-1.04908574692,-4.52191543579,0.700028416809,-0.428419113159,-1.07684277466,-3.42160177231,0.551248183769,-0.394469559193,-0.995225330627,-7.0894036293,0.590000486501,1400,204800,150,146.285714286,98,13.3920475946,4.40657,2.6077e-08,-0.156506,-0.30914,8.0832e+10,6.33991e+10,4.0511e+09,3.52889e+09,40.511,40.511,8.0832e+10,6.33991e+10,4.83372e+21,9.53674e-07,7.91624e-09,-5.96046e-07,1.94626e-07,-0.554442,-0.999017,-3.51922,0.490478,-2.37487e-08,-17.5755,-17.5755,-17.5755,1.90735e-06,16.8634,10000,0.270536,0.163319,0.0561026,0.107217,-0.335524,-0.554465,-0.773405,0.21894,0.714963,0.588201,0.461439,0.126762
10,0.218792,0.103265,-0.0122617,0.115527,-44.3411777951,6,-39.0891303544,-44.3411777951,-56.5660008216,5.79393902873,-0.260594202362,-0.295607851967,-0.377106672144,0.0386262601915,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,66,9900,150,150.0,150,0.0,0.972572,0.0968062,-0.97693,0.421843,-40.3480014054,140,-12.993828747,-40.3480014054,-73.7978018051,14.2786213655,-0.08662552498,-0.275816415857,-0.491985345367,0.0926654877856,-0.240600883961,-0.906372911377,-4.07172298431,0.613152833497,-0.187799453735,-0.865800857544,-4.50522422791,0.62263920485,-0.175736665726,-0.912649092065,-7.60905742645,0.644671099016,1540,225280,150,146.285714286,98,13.3920475946,3.78298,1.76951e-08,-0.0866255,-0.281448,8.0832e+10,6.06796e+10,4.0511e+09,3.49724e+09,40.511,40.511,8.0832e+10,6.06796e+10,4.54596e+21,1.90735e-06,-1.67638e-08,-9.53674e-07,3.05423e-07,-0.45219,-1.04715,-4.42822,0.647868,-2.23517e-08,-16.0545,-16.0545,-16.0545,1.90735e-06,17.2418,11000,0.218792,0.103265,-0.0122617,0.115527,-0.543617,-0.65118,-0.758744,0.107563,0.580644,0.524449,0.468254,0.0561949
11,0.227878,0.0971127,-0.0336527,0.130765,-44.5558269901,6,-37.4278473469,-44.5558269901,-56.2707643673,6.15736440471,-0.249518982312,-0.297038846601,-0.375138429116,0.0410490960314,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,72,10800,150,150.0,150,0.0,0.972121,0.161836,-0.932823,0.380647,-40.758024788,140,-10.2218430255,-40.758024788,-71.761153145,14.4346884275,-0.104304520668,-0.278619310074,-0.478407687633,0.0925969811678,0.158748805523,-0.752116554763,-4.271296978,0.752348645141,0.153727710247,-0.739283266238,-3.95767855644,0.711070061777,0.169592738152,-0.721484079999,-7.37719869614,0.726455376621,1680,245760,150,146.285714286,98,13.3920475946,4.05648,9.31323e-09,-0.104627,-0.236439,8.0832e+10,6.06483e+10,4.0511e+09,3.44976e+09,40.511,40.511,8.0832e+10,6.06483e+10,4.53094e+21,4.76837e-07,-9.83709e-08,-2.38419e-06,4.58013e-07,-0.119029,-0.872275,-4.75015,0.769373,-4.65661e-09,-15.4467,-15.4467,-15.4467,9.53674e-07,12.3803,12000,0.227878,0.0971127,-0.0336527,0.130765,-0.795345,-0.817157,-0.838969,0.0218115,0.451425,0.441791,0.432156,0.00963461
12,0.305496,0.194504,0.0835121,0.110992,-45.9776868916,6,-15.252211105,-45.9776868916,-74.5822221493,19.3514564815,-0.101681407367,-0.30651791261,-0.497214814329,0.129009709877,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,78,11700,150,150.0,150,0.0,0.958127,0.179482,-0.906312,0.342107,-43.4768804586,140,-13.661333382,-43.4768804586,-73.9134991118,16.4267674246,-0.0935768925025,-0.29720523751,-0.492756660746,0.106261143581,0.303848743439,-0.594095349738,-5.56058359146,0.96107744665,0.307253062725,-0.583989185095,-3.62531065941,0.808638653587,0.307719647884,-0.541648578024,-7.68132638931,0.778859876289,1820,266240,150,146.285714286,98,13.3920475946,3.90029,-1.11759e-08,-0.12925,-0.252063,8.0832e+10,6.14728e+10,4.0511e+09,3.49724e+09,40.511,40.511,8.0832e+10,6.14728e+10,4.6592e+21,9.53674e-07,-1.22353e-07,-1.90735e-06,3.21813e-07,0.151935,-0.604165,-4.13364,0.732335,3.72529e-09,-16.4912,-16.4912,-16.4912,1.90735e-06,16.9539,13000,0.305496,0.194504,0.0835121,0.110992,-0.885914,-0.925667,-0.965419,0.0397526,0.412337,0.39658,0.380823,0.0157568
