Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/agent_infos/final/logpi Max,evaluation/agent_infos/final/logpi Mean,evaluation/agent_infos/final/logpi Min,evaluation/agent_infos/final/logpi Std,evaluation/agent_infos/initial/logpi Max,evaluation/agent_infos/initial/logpi Mean,evaluation/agent_infos/initial/logpi Min,evaluation/agent_infos/initial/logpi Std,evaluation/agent_infos/logpi Max,evaluation/agent_infos/logpi Mean,evaluation/agent_infos/logpi Min,evaluation/agent_infos/logpi Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/agent_infos/final/logpi Max,exploration/agent_infos/final/logpi Mean,exploration/agent_infos/final/logpi Min,exploration/agent_infos/final/logpi Std,exploration/agent_infos/initial/logpi Max,exploration/agent_infos/initial/logpi Mean,exploration/agent_infos/initial/logpi Min,exploration/agent_infos/initial/logpi Std,exploration/agent_infos/logpi Max,exploration/agent_infos/logpi Mean,exploration/agent_infos/logpi Min,exploration/agent_infos/logpi Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,trainer/Extrinsic Advantages Max,trainer/Extrinsic Advantages Mean,trainer/Extrinsic Rewards Max,trainer/Extrinsic Rewards Mean,trainer/Intrinsic Advantages Max,trainer/Intrinsic Advantages Mean,trainer/Intrinsic Rewards Max,trainer/Intrinsic Rewards Mean,trainer/Intrinsic Rewards Raw Max,trainer/Intrinsic Rewards Raw Mean,trainer/Intrinsic Targets Max,trainer/Intrinsic Targets Mean,trainer/Intrinsic Value Loss,trainer/KL Div Max,trainer/KL Div Mean,trainer/KL Div Min,trainer/KL Div Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Value Estimates Max,trainer/Value Estimates Mean,trainer/Value Estimates Min,trainer/Value Estimates Std,trainer/Value Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,1.46667e-05,-0.000118675,-0.000252016,0.000133342,-36.9918530953,6,-21.9638639274,-36.9918530953,-49.7844740581,9.86713998679,-0.146425759516,-0.246612353968,-0.331896493721,0.0657809332453,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6,900,150,150.0,150,0.0,0.999576,0.00227288,-0.999046,0.62238,-41.8248416616,140,-12.0748883215,-41.8248416616,-74.6625132277,14.8801737449,-0.0804992554765,-0.285912003546,-0.497750088185,0.0980542066363,-0.634615182877,-1.34781128509,-2.18805885315,0.276878779059,-0.53337097168,-1.35400608778,-1.81736147404,0.267681765649,-0.280222892761,-1.3434573632,-4.25986766815,0.29270401002,140,20480,150,146.285714286,98,13.3920475946,2.41404,1.65775e-07,-0.116313,-0.288639,6.16564e+09,4.7133e+09,3.09021e+08,2.77636e+08,3.09021,3.09021,6.16564e+09,4.7133e+09,2.66976e+19,1.38283e-05,5.12227e-08,-1.43051e-06,9.13015e-07,-0.533823,-1.33093,-2.27536,0.321483,-1.02445e-07,0.00290113,0.00290113,0.00290113,4.65661e-10,20.6801,1000,1.46667e-05,-0.000118675,-0.000252017,0.000133342,0.00103444,6.22892e-05,-0.000909861,0.000972151,1.00103,1.00006,0.999091,0.000972211
1,0.065329,0.0469837,0.0286383,0.0183454,-36.5760571476,6,-21.1107330953,-36.5760571476,-73.6228989091,17.9106297777,-0.140738220635,-0.243840380984,-0.49081932606,0.119404198518,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12,1800,150,150.0,150,0.0,0.998998,0.011321,-0.999264,0.602533,-39.8598699289,140,-10.082428243,-39.8598699289,-73.780699903,13.6599651777,-0.100990825,-0.272479579592,-0.491871332687,0.0874800242852,-0.944700479507,-1.38977002161,-1.83926963806,0.176854898056,-0.682343006134,-1.35372140578,-1.85542345047,0.19505106576,-0.644506454468,-1.35771275117,-4.60233592987,0.214887688227,280,40960,150,146.285714286,98,13.3920475946,3.84933,4.28408e-08,-0.141574,-0.23782,6.16579e+09,4.63278e+09,3.09021e+08,2.70394e+08,3.09021,3.09021,6.16579e+09,4.63278e+09,2.62244e+19,1.43051e-06,4.37722e-08,-9.53674e-07,2.36018e-07,-0.736159,-1.33101,-1.97415,0.227063,-4.47035e-08,-16.6507,-16.6507,-16.6507,1.90735e-06,17.044,2000,0.065329,0.0469837,0.0286383,0.0183454,-0.0479743,-0.0669047,-0.0858351,0.0189304,0.953158,0.935452,0.917746,0.0177063
2,0.0565541,0.0365176,0.0164811,0.0200365,-34.9764422141,6,-18.1193791946,-34.9764422141,-50.1771047043,12.966551708,-0.120795861298,-0.233176281428,-0.334514031362,0.0864436780534,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18,2700,150,150.0,150,0.0,0.998256,-0.0306668,-0.998644,0.587499,-41.9530630218,140,-13.4979132004,-41.9530630218,-73.1147435323,15.5650833416,-0.0899860880023,-0.286788516751,-0.487431623549,0.101682572925,-0.833315610886,-1.35797444923,-1.7634614706,0.199576863779,-0.733819246292,-1.33865627306,-2.16713523865,0.219748018057,-0.655996322632,-1.35626937462,-4.74175405502,0.220305467936,420,61440,150,146.285714286,98,13.3920475946,4.05928,-1.67638e-08,-0.141092,-0.276728,6.16594e+09,4.9436e+09,3.09021e+08,2.81258e+08,3.09021,3.09021,6.16594e+09,4.9436e+09,2.82183e+19,9.53674e-07,9.31323e-09,-3.33786e-06,2.87252e-07,-0.899266,-1.36677,-2.03653,0.170942,2.32831e-08,-15.7792,-15.7792,-15.7792,0.0,14.7241,3000,0.0565541,0.0365176,0.0164811,0.0200365,-0.0997479,-0.110722,-0.121697,0.0109744,0.905066,0.895241,0.885417,0.00982431
3,-0.0484566,-0.0645548,-0.0806531,0.0160983,-35.6525974654,6,-24.699467828,-35.6525974654,-48.1419044914,8.75198634703,-0.164663118853,-0.237683983103,-0.320946029943,0.0583465756469,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,24,3600,150,150.0,150,0.0,0.999033,-0.0556654,-0.998277,0.571451,-41.4127611198,140,-13.0325455567,-41.4127611198,-72.5756175632,14.7677628224,-0.0868836370444,-0.283095046717,-0.483837450422,0.0961009371699,-0.674219846725,-1.36605240447,-2.89966678619,0.281259517009,-0.686773538589,-1.35967217513,-2.49174261093,0.266454223938,-0.620187520981,-1.34187270596,-5.70168924332,0.260804558673,560,81920,150,146.285714286,98,13.3920475946,4.09705,-5.58794e-09,-0.138635,-0.279722,6.16594e+09,4.96095e+09,3.09021e+08,2.78844e+08,3.09021,3.09021,6.16594e+09,4.96095e+09,2.87347e+19,9.53674e-07,5.12227e-09,-7.15256e-07,1.9776e-07,-0.912535,-1.35955,-1.86337,0.161512,-1.62981e-08,-16.8965,-16.8965,-16.8965,1.90735e-06,16.7253,4000,-0.0484566,-0.0645549,-0.0806531,0.0160983,-0.112761,-0.162303,-0.211845,0.0495417,0.893364,0.851227,0.80909,0.0421368
4,-0.0937575,-0.111928,-0.130098,0.0181704,-49.2121557758,6,-35.8669732456,-49.2121557758,-70.5767127962,13.6696123426,-0.239113154971,-0.328081038506,-0.470511418641,0.0911307489506,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4500,150,150.0,150,0.0,0.998946,-0.0978127,-0.997517,0.561286,-42.0208547416,140,-15.1279068131,-42.0208547416,-74.852600005,14.8233826935,-0.100852712088,-0.28725193671,-0.499017333367,0.0974079968013,-0.459277272224,-1.22936408945,-2.40198779106,0.384478966913,-0.39521241188,-1.27673939296,-3.4054350853,0.446303468939,-0.255230903625,-1.25326762469,-5.40315628052,0.43756987467,700,102400,150,146.285714286,98,13.3920475946,4.23878,-3.72529e-08,-0.121755,-0.237783,6.16594e+09,4.84988e+09,3.09021e+08,2.76429e+08,3.09021,3.09021,6.16594e+09,4.84988e+09,2.75294e+19,1.43051e-06,3.25963e-09,-9.53674e-07,2.98471e-07,-0.854897,-1.33943,-3.1931,0.262185,5.26197e-08,-17.3158,-17.3158,-17.3158,1.90735e-06,15.5359,5000,-0.0937575,-0.111928,-0.130098,0.0181704,-0.16405,-0.224659,-0.285268,0.0606086,0.848699,0.800256,0.751813,0.0484431
5,0.174438,-0.111596,-0.39763,0.286034,-44.0127145571,6,-27.2091228142,-44.0127145571,-63.249752638,14.1724594415,-0.181394152095,-0.293418097047,-0.421665017587,0.0944830629435,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36,5400,150,150.0,150,0.0,0.997303,-0.0983235,-0.994184,0.569026,-40.9496923471,140,-9.67696315709,-40.9496923471,-74.786457271,15.0573985816,-0.0645130877139,-0.279929537529,-0.498576381807,0.0998573755398,0.127985477448,-0.95409529124,-2.65223860741,0.583458409762,0.105006694794,-1.02437175044,-3.24918866158,0.646551635063,0.166721343994,-1.04145170694,-7.52144241333,0.659715125958,840,122880,150,146.285714286,98,13.3920475946,3.64667,1.11759e-08,-0.127068,-0.302066,6.16594e+09,4.73135e+09,3.09021e+08,2.76429e+08,3.09021,3.09021,6.16594e+09,4.73135e+09,2.68166e+19,2.38419e-06,2.91038e-08,-1.43051e-06,3.88753e-07,-0.244547,-1.1413,-3.71081,0.565214,1.86265e-09,-17.5673,-17.5673,-17.5673,1.90735e-06,22.3796,6000,0.174438,-0.111596,-0.39763,0.286034,-0.140444,-0.286986,-0.433529,0.146542,0.868973,0.758595,0.648218,0.110377
6,0.224115,-0.129734,-0.483582,0.353848,-41.4778817423,6,-20.2961426514,-41.4778817423,-51.8681752238,10.4886985804,-0.135307617676,-0.276519211615,-0.345787834825,0.0699246572028,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,42,6300,150,150.0,150,0.0,0.999176,-0.08607,-0.997379,0.557555,-38.6673346522,140,-13.3281962963,-38.6673346522,-74.9917862993,15.3486256051,-0.089098358191,-0.264327482974,-0.499945241995,0.101485848083,0.0982737541199,-0.98793107186,-4.70186185837,0.73132269913,0.0219466686249,-0.976530365433,-3.26265978813,0.639488370919,0.120871305466,-0.974220372736,-6.62838315964,0.688611047546,980,143360,150,146.285714286,98,13.3920475946,3.94513,-1.11759e-08,-0.0955715,-0.257022,6.16564e+09,4.55097e+09,3.09021e+08,2.61944e+08,3.09021,3.09021,6.16564e+09,4.55097e+09,2.57468e+19,9.53674e-07,2.32831e-10,-1.90735e-06,2.72252e-07,-0.053967,-1.06376,-5.0377,0.653588,1.30385e-08,-15.8426,-15.8426,-15.8426,0.0,13.5886,7000,0.224115,-0.129734,-0.483582,0.353848,-0.196035,-0.349684,-0.503333,0.153649,0.821983,0.713248,0.604512,0.108735
7,0.240516,-0.102448,-0.445413,0.342965,-48.7821111968,6,-24.244991348,-48.7821111968,-71.304424152,17.0624092677,-0.161633275653,-0.325214074645,-0.47536282768,0.113749395118,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,48,7200,150,150.0,150,0.0,0.999182,-0.0514261,-0.986921,0.539772,-43.3387802558,140,-15.3402451464,-43.3387802558,-73.1639384632,14.1441624417,-0.126379464411,-0.296261193155,-0.487759589755,0.0926681293745,0.169060230255,-0.795488226414,-3.44782280922,0.5808453543,0.19469666481,-0.89474115244,-5.44515943527,0.810172364263,0.264427900314,-0.862499626234,-7.61716032028,0.729266217171,1120,163840,150,146.285714286,98,13.3920475946,4.31021,-1.86265e-09,-0.126379,-0.293929,6.16594e+09,4.69129e+09,3.09021e+08,2.65565e+08,3.09021,3.09021,6.16594e+09,4.69129e+09,2.67513e+19,9.53674e-07,2.95695e-08,-9.53674e-07,2.03225e-07,-0.097681,-1.02724,-4.29097,0.659534,-1.75787e-08,-15.8556,-15.8556,-15.8556,3.8147e-06,12.4165,8000,0.240516,-0.102448,-0.445413,0.342965,-0.209659,-0.437923,-0.666187,0.228264,0.810861,0.662262,0.513663,0.148599
8,0.34813,-0.0102991,-0.368728,0.358429,-43.438881835,6,-17.1053938994,-43.438881835,-62.7468320945,14.9444306092,-0.114035959329,-0.289592545567,-0.418312213964,0.0996295373947,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54,8100,150,150.0,150,0.0,0.997981,-0.0226652,-0.988559,0.515263,-43.102901612,140,-14.87171299,-43.102901612,-74.4521239069,14.8865976369,-0.0991447532667,-0.294648741488,-0.496347492713,0.096683956682,0.45088326931,-0.632369074438,-3.14959311485,0.798672869837,0.461501717567,-0.686031486094,-4.98281002045,0.826237144786,0.462677001953,-0.637463225613,-6.88946008682,0.794130193846,1260,184320,150,146.285714286,98,13.3920475946,3.71675,3.72529e-09,-0.160118,-0.28729,6.16594e+09,4.34326e+09,3.09021e+08,2.53494e+08,3.09021,3.09021,6.16594e+09,4.34327e+09,2.47682e+19,2.86102e-06,1.50176e-08,-1.07288e-06,2.97079e-07,0.0885823,-0.808709,-3.08702,0.631754,-1.11759e-08,-16.4044,-16.4044,-16.4044,3.8147e-06,18.8851,9000,0.34813,-0.0102991,-0.368728,0.358429,-0.310007,-0.584824,-0.859641,0.274817,0.733442,0.578378,0.423314,0.155064
9,0.434608,0.0152723,-0.404063,0.419336,-57.7920089122,6,-43.3259701676,-57.7920089122,-72.3716433527,13.0478527132,-0.288839801117,-0.385280059414,-0.482477622352,0.0869856847546,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,60,9000,150,150.0,150,0.0,0.995994,-0.012964,-0.969621,0.533837,-43.5982775105,140,-13.7102637611,-43.5982775105,-74.9741856515,14.9736692222,-0.0914017584071,-0.29803510017,-0.499827904344,0.0975877525975,0.783378839493,-0.354719758247,-3.19887280464,0.792431289728,0.684822738171,-0.37112820042,-3.91439771652,0.923079942945,0.785215616226,-0.416885181048,-7.16505050659,0.881342980493,1400,204800,150,146.285714286,98,13.3920475946,3.55593,-7.45058e-09,-0.133651,-0.271035,6.16594e+09,4.5145e+09,3.09021e+08,2.64358e+08,3.09021,3.09021,6.16594e+09,4.5145e+09,2.542e+19,9.53674e-07,2.77068e-08,-1.90735e-06,3.75085e-07,0.43791,-0.615896,-4.81568,0.878531,-6.00703e-08,-16.6355,-16.6355,-16.6355,0.0,17.2763,10000,0.434608,0.0152723,-0.404063,0.419336,-0.408525,-0.737767,-1.06701,0.329242,0.66463,0.504333,0.344036,0.160297
