Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/agent_infos/final/logpi Max,evaluation/agent_infos/final/logpi Mean,evaluation/agent_infos/final/logpi Min,evaluation/agent_infos/final/logpi Std,evaluation/agent_infos/initial/logpi Max,evaluation/agent_infos/initial/logpi Mean,evaluation/agent_infos/initial/logpi Min,evaluation/agent_infos/initial/logpi Std,evaluation/agent_infos/logpi Max,evaluation/agent_infos/logpi Mean,evaluation/agent_infos/logpi Min,evaluation/agent_infos/logpi Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/agent_infos/final/logpi Max,exploration/agent_infos/final/logpi Mean,exploration/agent_infos/final/logpi Min,exploration/agent_infos/final/logpi Std,exploration/agent_infos/initial/logpi Max,exploration/agent_infos/initial/logpi Mean,exploration/agent_infos/initial/logpi Min,exploration/agent_infos/initial/logpi Std,exploration/agent_infos/logpi Max,exploration/agent_infos/logpi Mean,exploration/agent_infos/logpi Min,exploration/agent_infos/logpi Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,trainer/Extrinsic Advantages Max,trainer/Extrinsic Advantages Mean,trainer/Extrinsic Rewards Max,trainer/Extrinsic Rewards Mean,trainer/Intrinsic Advantages Max,trainer/Intrinsic Advantages Mean,trainer/Intrinsic Rewards Max,trainer/Intrinsic Rewards Mean,trainer/Intrinsic Rewards Raw Max,trainer/Intrinsic Rewards Raw Mean,trainer/Intrinsic Targets Max,trainer/Intrinsic Targets Mean,trainer/Intrinsic Value Loss,trainer/KL Div Max,trainer/KL Div Mean,trainer/KL Div Min,trainer/KL Div Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Value Estimates Max,trainer/Value Estimates Mean,trainer/Value Estimates Min,trainer/Value Estimates Std,trainer/Value Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,5.863e-05,-0.000198333,-0.000455297,0.000256963,-45.4125766951,6,-32.2076113832,-45.4125766951,-70.9944946695,13.3051362122,-0.214717409221,-0.302750511301,-0.47329663113,0.0887009080812,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6,900,150,150.0,150,0.0,0.412473,-0.00716604,-0.437412,0.101369,-39.3022936943,140,-8.74320251339,-39.3022936943,-74.0212156804,14.3500249325,-0.0710123841177,-0.268668023301,-0.493474771203,0.0946397595033,2.76716709137,1.70926561994,-4.49547863007,1.22412637017,2.76043796539,1.71836635768,-3.09108281136,1.16403498458,2.76872587204,1.77018098303,-8.69983577728,1.00214271643,140,20480,150,146.285714286,98,13.3920475946,2.66806,-2.23517e-07,-0.0957107,-0.326334,1.4119e+11,1.11336e+11,7.0761e+09,6.19159e+09,70.761,70.761,1.4119e+11,1.11336e+11,1.48033e+22,1.19209e-06,9.77889e-09,-8.34465e-07,3.47254e-07,2.76153,1.67493,-3.10434,1.08728,2.26311e-07,-0.000935588,-0.000935588,-0.000935588,1.16415e-10,27.9836,1000,5.863e-05,-0.000198333,-0.000455297,0.000256963,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
1,0.0102366,-0.00850325,-0.0272431,0.0187398,-43.524639079,6,-27.8270255367,-43.524639079,-58.5748437027,10.164485831,-0.185513503578,-0.290164260527,-0.390498958018,0.067763238873,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12,1800,150,150.0,150,0.0,0.389823,-0.00327919,-0.386254,0.101758,-41.9735669979,140,-14.7531556348,-41.9735669979,-74.9071775379,14.6519750113,-0.0983543708984,-0.286928680649,-0.499381183586,0.0962895216548,2.7605843544,1.87678793413,-2.2190926075,0.853293616442,2.76712274551,1.90969310573,-1.2481521368,0.841787471504,2.76872301102,1.78762709761,-7.6447262764,0.965506664035,280,40960,150,146.285714286,98,13.3920475946,3.46262,1.49012e-08,-0.128847,-0.283934,1.41187e+11,1.07357e+11,7.0761e+09,6.24687e+09,70.761,70.761,1.41187e+11,1.07357e+11,1.38934e+22,7.15256e-07,-4.65661e-08,-9.53674e-07,3.09036e-07,2.75866,1.90348,-1.06789,0.774458,-1.81608e-08,-14.2662,-14.2662,-14.2662,1.90735e-06,16.9579,2000,0.0102366,-0.00850325,-0.0272431,0.0187398,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
2,0.0257884,0.000946976,-0.0238944,0.0248414,-39.0918335915,6,-15.5548837698,-39.0918335915,-71.031229457,16.531192978,-0.103699225132,-0.260612223943,-0.473541529713,0.110207953187,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18,2700,150,150.0,150,0.0,0.414427,-0.000814662,-0.424233,0.105013,-40.8933698292,140,-12.2719969729,-40.8933698292,-73.4160169363,14.082034079,-0.111423068377,-0.279544520317,-0.489440112909,0.0940292644096,2.75995254517,1.74633153634,-4.00044488907,1.17582383685,2.74938964844,1.63887511747,-5.54766368866,1.21707567843,2.77089118958,1.79518896465,-7.77699565887,0.974510554152,420,61440,150,146.285714286,98,13.3920475946,3.77979,-1.49012e-08,-0.125224,-0.250975,1.4119e+11,1.06161e+11,7.0761e+09,6.05338e+09,70.761,70.761,1.4119e+11,1.06161e+11,1.40565e+22,2.14577e-06,2.30502e-08,-8.34465e-07,3.58417e-07,2.76746,1.82434,-1.25026,0.890247,3.72529e-08,-16.3953,-16.3953,-16.3953,1.90735e-06,17.8327,3000,0.0257884,0.000946977,-0.0238944,0.0248414,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
3,0.0544578,0.0133708,-0.0277162,0.041087,-50.4788477921,6,-34.4567829274,-50.4788477921,-67.4960073751,10.8046437337,-0.229711886182,-0.336525651947,-0.4499733825,0.0720309582249,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,24,3600,150,150.0,150,0.0,0.413959,0.00422443,-0.378505,0.110018,-40.7158848027,140,-13.0876100374,-40.7158848027,-74.8503602499,14.502559724,-0.100818033579,-0.278331243769,-0.499002401666,0.0943171821513,2.76876544952,1.87211241382,-1.304043293,0.859231155645,2.77011442184,1.81978269092,-1.37108004093,0.880524933122,2.77323698997,1.79241443168,-8.32581043243,0.990610217717,560,81920,150,146.285714286,98,13.3920475946,3.69664,1.86265e-08,-0.100818,-0.269483,1.4119e+11,1.07664e+11,7.0761e+09,6.30215e+09,70.761,70.761,1.4119e+11,1.07664e+11,1.39934e+22,1.90735e-06,2.11876e-08,-1.43051e-06,3.99122e-07,2.76763,1.73913,-6.3737,1.19504,3.53903e-08,-17.1483,-17.1483,-17.1483,1.90735e-06,19.6785,4000,0.0544578,0.0133708,-0.0277162,0.041087,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
4,0.0612309,-0.000368595,-0.0619681,0.0615995,-45.4839370881,6,-27.0308888066,-45.4839370881,-63.9641518419,15.4015522691,-0.180205925377,-0.303226247254,-0.426427678946,0.102677015127,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4500,150,150.0,150,0.0,0.37705,-0.0121738,-0.420535,0.109952,-41.1975486776,140,-11.8118023886,-41.1975486776,-73.9213210772,14.8840082674,-0.102393518813,-0.281623867913,-0.492808807181,0.0974490174802,2.75832605362,1.75779701216,-4.28471803665,1.09043482327,2.76649045944,1.7829443442,-2.02356171608,0.990945420328,2.77363300323,1.79352534494,-6.9501991272,0.979550591735,700,102400,150,146.285714286,98,13.3920475946,4.17865,1.39698e-08,-0.102394,-0.315085,1.4119e+11,1.13145e+11,7.0761e+09,6.41272e+09,70.761,70.761,1.4119e+11,1.13145e+11,1.48904e+22,7.15256e-07,-6.28643e-09,-1.43051e-06,3.18989e-07,2.77112,1.81275,-2.22423,0.885513,1.86265e-09,-16.5915,-16.5915,-16.5915,1.90735e-06,17.0152,5000,0.0612309,-0.000368595,-0.0619681,0.0615995,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
5,0.0267118,-0.0177506,-0.062213,0.0444624,-32.7815345414,6,-19.7453102258,-32.7815345414,-58.8358590478,13.0752816148,-0.131635401505,-0.218543563609,-0.392239060319,0.0871685440985,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36,5400,150,150.0,150,0.0,0.408667,-0.0160149,-0.409644,0.112204,-41.8203008501,140,-16.2776733952,-41.8203008501,-73.9188120239,14.8419222445,-0.108517822635,-0.285880962842,-0.49279208016,0.0972668271869,2.77242994308,1.76936996409,-3.46028637886,1.1778270766,2.77082920074,1.87260112422,-2.03337550163,0.832408673932,2.77450704575,1.78691737468,-7.50565767288,0.976561234892,840,122880,150,146.285714286,98,13.3920475946,3.73939,-1.86265e-09,-0.108518,-0.226551,1.4119e+11,1.07825e+11,7.0761e+09,6.27451e+09,70.761,70.761,1.4119e+11,1.07825e+11,1.40865e+22,1.43051e-06,-3.95812e-09,-1.54972e-06,3.55563e-07,2.76566,1.82815,-1.75457,0.919756,-2.47383e-08,-16.4536,-16.4536,-16.4536,0.0,17.6989,6000,0.0267118,-0.0177506,-0.062213,0.0444624,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
6,0.0366389,-0.0201991,-0.0770371,0.056838,-43.4082374734,6,-24.4154217492,-43.4082374734,-60.6298107835,13.5677354366,-0.162769478328,-0.289388249823,-0.404198738557,0.0904515695771,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,42,6300,150,150.0,150,0.0,0.417643,-0.0159763,-0.41101,0.113922,-42.9611963889,140,-9.21758313983,-42.9611963889,-74.4741317914,14.9628951695,-0.0940569708146,-0.29368005344,-0.496494211942,0.0981744487138,2.76641130447,1.93777945638,-1.29147589207,0.812265700205,2.76102876663,1.75406895067,-1.74813723564,0.937300471244,2.77621936798,1.79002440671,-6.17781305313,0.98189384308,980,143360,150,146.285714286,98,13.3920475946,3.84921,8.3819e-09,-0.183536,-0.316955,1.4119e+11,1.08301e+11,7.0761e+09,6.24687e+09,70.761,70.761,1.4119e+11,1.08301e+11,1.41921e+22,1.19209e-06,-2.56114e-09,-2.6226e-06,3.93235e-07,2.76655,1.75759,-2.04256,0.992272,3.72529e-08,-17.0068,-17.0068,-17.0068,0.0,19.5559,7000,0.0366389,-0.0201991,-0.0770371,0.056838,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
7,0.044984,-0.0186557,-0.0822954,0.0636397,-45.6524548483,6,-24.5545917823,-45.6524548483,-63.8687076567,14.2708177342,-0.163697278548,-0.304349698988,-0.425791384378,0.0951387848946,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,48,7200,150,150.0,150,0.0,0.417939,-0.0202889,-0.43568,0.120278,-43.2668298692,140,-12.6188504192,-43.2668298692,-74.063481874,14.5054818044,-0.0951921014239,-0.295769344809,-0.493756545826,0.0940676155217,2.77601909637,1.67826569676,-4.21923017502,1.12622358992,2.75642871857,1.78493180318,-2.03153538704,0.947989904424,2.78185176849,1.80402438403,-6.29475498199,0.975766000119,1120,163840,150,146.285714286,98,13.3920475946,3.99703,1.30385e-08,-0.128764,-0.324206,1.41187e+11,1.08313e+11,7.0761e+09,6.24687e+09,70.761,70.761,1.41187e+11,1.08313e+11,1.40981e+22,1.43051e-06,5.68107e-08,-1.54972e-06,3.79604e-07,2.77618,1.86375,-4.23554,0.966691,-3.35276e-08,-16.4334,-16.4334,-16.4334,1.90735e-06,17.413,8000,0.044984,-0.0186557,-0.0822954,0.0636397,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
8,0.0543834,-0.0251291,-0.104642,0.0795126,-35.2227844247,6,-15.7571950605,-35.2227844247,-66.1926776879,16.1940169566,-0.10504796707,-0.234818562831,-0.441284517919,0.107960113044,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54,8100,150,150.0,150,0.0,0.415306,-0.0143012,-0.452956,0.120222,-41.4162474442,140,-8.45830678494,-41.4162474442,-75.0474133165,15.3277115391,-0.0563887118996,-0.283118879013,-0.500316088777,0.102394361505,2.77564334869,1.88339346009,-0.982765972614,0.831437523367,2.77707457542,1.78841530766,-2.6647310257,1.08172223799,2.78097867966,1.77964002258,-6.84386920929,0.996914945968,1260,184320,150,146.285714286,98,13.3920475946,4.23891,1.02445e-08,-0.0563887,-0.264372,1.4119e+11,1.07405e+11,7.0761e+09,6.13631e+09,70.761,70.761,1.4119e+11,1.07405e+11,1.40045e+22,1.66893e-06,3.95812e-09,-1.43051e-06,3.30185e-07,2.77719,1.8778,-3.53648,0.981487,-2.79397e-09,-17.5131,-17.5131,-17.5131,0.0,15.7434,9000,0.0543834,-0.0251291,-0.104642,0.0795126,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
9,0.0392235,-0.00702469,-0.0532729,0.0462482,-43.9910850182,6,-19.1091753232,-43.9910850182,-61.2716454291,14.0895318556,-0.127394502155,-0.293273900121,-0.408477636194,0.0939302123708,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,60,9000,150,150.0,150,0.0,0.413564,-0.00640752,-0.39953,0.110573,-42.7068891551,140,-15.6290494724,-42.7068891551,-74.814015124,14.9104976554,-0.106035691451,-0.291941625084,-0.498760100827,0.0991537322773,2.75721120834,1.66083407359,-4.68264007568,1.19636064031,2.76330637932,1.78312102003,-1.48825061321,0.973905642869,2.77326965332,1.79499750027,-7.19901132584,0.982775161209,1400,204800,150,146.285714286,98,13.3920475946,4.36445,-1.86265e-09,-0.106036,-0.282578,1.4119e+11,1.07341e+11,7.0761e+09,6.13631e+09,70.761,70.761,1.4119e+11,1.07341e+11,1.39818e+22,1.90735e-06,2.86382e-08,-1.01328e-06,3.53332e-07,2.77009,1.73762,-6.89562,1.16309,4.37722e-08,-16.5883,-16.5883,-16.5883,0.0,14.2899,10000,0.0392235,-0.0070247,-0.0532729,0.0462482,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
10,0.0450894,-0.00405065,-0.0531907,0.04914,-43.3731350771,6,-38.0071638838,-43.3731350771,-50.5998315889,4.2163401052,-0.253381092559,-0.289154233848,-0.337332210593,0.0281089340347,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,66,9900,150,150.0,150,0.0,0.393971,-0.0105351,-0.436197,0.110105,-41.5013673338,140,-11.5668708442,-41.5013673338,-74.196753855,15.4089076602,-0.0923707039226,-0.283700753258,-0.4946450257,0.0990156400748,2.76810646057,1.76866539504,-1.29171299934,0.925900945103,2.76947832108,1.7250733895,-2.58049058914,1.07134007116,2.77341890335,1.79848462129,-7.57544612885,0.982074087624,1540,225280,150,146.285714286,98,13.3920475946,3.68268,-1.11759e-08,-0.129664,-0.260978,1.41183e+11,1.03033e+11,7.0761e+09,5.88754e+09,70.761,70.761,1.41183e+11,1.03033e+11,1.35105e+22,1.07288e-06,-1.14087e-08,-1.54972e-06,3.48621e-07,2.76879,1.74046,-1.88711,0.923449,2.24682e-08,-17.1402,-17.1402,-17.1402,0.0,17.8243,11000,0.0450894,-0.00405065,-0.0531907,0.04914,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
11,0.0336437,-0.0187376,-0.0711189,0.0523813,-41.2485659627,6,-20.6750615853,-41.2485659627,-62.310668799,15.8359913213,-0.137833743902,-0.274990439752,-0.41540445866,0.105573275476,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,72,10800,150,150.0,150,0.0,0.401282,-0.0157828,-0.431029,0.109642,-40.1058454391,140,-13.3683957113,-40.1058454391,-73.3718798769,13.4837984928,-0.0911120972612,-0.274161052806,-0.489145865846,0.0866540072426,2.75759792328,1.86747801815,-1.58893585205,0.793617196241,2.76636886597,1.94373969819,-0.69745516777,0.683917748043,2.77326273918,1.79097058904,-7.88128662109,0.974290453458,1680,245760,150,146.285714286,98,13.3920475946,4.4809,0.0,-0.153154,-0.247254,1.4119e+11,1.11848e+11,7.0761e+09,6.30215e+09,70.761,70.761,1.4119e+11,1.11848e+11,1.47979e+22,1.43051e-06,-1.04774e-08,-9.53674e-07,3.17133e-07,2.77034,1.74821,-4.49875,0.959024,-9.77889e-09,-17.1773,-17.1773,-17.1773,0.0,13.6351,12000,0.0336437,-0.0187376,-0.0711189,0.0523813,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
12,0.0157116,-0.0195065,-0.0547246,0.0352181,-44.2394578566,6,-26.1421062166,-44.2394578566,-54.1806818385,9.91912243428,-0.174280708111,-0.294929719044,-0.36120454559,0.0661274828952,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,78,11700,150,150.0,150,0.0,0.370506,-0.019172,-0.406622,0.107723,-41.2503066883,140,-13.1173431722,-41.2503066883,-74.0107144682,14.5420422284,-0.0874489544813,-0.281984518377,-0.493404763121,0.0942538528614,2.77007389069,1.84407124264,-2.58019590378,0.922608597217,2.76741981506,1.83503138976,-3.23320198059,1.08247353437,2.77329492569,1.79244078127,-5.70143604279,0.977835153256,1820,266240,150,146.285714286,98,13.3920475946,3.78138,-1.86265e-09,-0.179188,-0.315046,1.4119e+11,1.10439e+11,7.0761e+09,6.35743e+09,70.761,70.761,1.4119e+11,1.10439e+11,1.44889e+22,1.66893e-06,-2.32831e-10,-1.07288e-06,3.59312e-07,2.76975,1.75692,-2.62778,0.992073,-2.67755e-09,-16.2404,-16.2404,-16.2404,0.0,18.7609,13000,0.0157116,-0.0195065,-0.0547246,0.0352181,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
13,0.0260746,-0.0198514,-0.0657774,0.045926,-46.0080816175,6,-21.2826336205,-46.0080816175,-68.7767463314,16.438338503,-0.141884224137,-0.306720544117,-0.458511642209,0.109588923353,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,84,12600,150,150.0,150,0.0,0.381961,-0.0254467,-0.423041,0.113048,-41.4199772469,140,-12.4583479585,-41.4199772469,-74.6679691563,15.5081067877,-0.0916042791041,-0.283144375711,-0.497786461042,0.103066129405,2.7756524086,1.88163484378,-3.86162304878,0.942216131615,2.77606678009,1.79144384606,-1.07857084274,0.907310691354,2.77958297729,1.7938917505,-7.2932767868,0.979795371152,1960,286720,150,146.285714286,98,13.3920475946,3.8194,-1.67638e-08,-0.0936308,-0.253861,1.4119e+11,1.06296e+11,7.0761e+09,6.10866e+09,70.761,70.761,1.4119e+11,1.06296e+11,1.39567e+22,1.54972e-06,1.88593e-08,-1.07288e-06,3.32728e-07,2.77239,1.77151,-2.11493,0.99162,2.6077e-08,-16.1004,-16.1004,-16.1004,0.0,16.7194,14000,0.0260746,-0.0198514,-0.0657774,0.045926,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
14,0.0407545,-0.0293155,-0.0993855,0.07007,-45.7615731814,6,-23.3191127306,-45.7615731814,-59.9347107366,12.7065027876,-0.155460751537,-0.305077154543,-0.399564738244,0.0847100185839,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,90,13500,150,150.0,150,0.0,0.443564,-0.0221349,-0.437837,0.122338,-41.1546966162,140,-9.99599822297,-41.1546966162,-74.4613352236,15.4816025048,-0.101999981867,-0.2813309339,-0.496408901491,0.103268957224,2.77314400673,1.76357561307,-2.76239347458,1.0450391881,2.77148485184,1.7724251547,-3.20317173004,1.0437789389,2.78113269806,1.80692447995,-6.3354177475,0.979335932466,2100,307200,150,146.285714286,98,13.3920475946,4.05277,1.11759e-08,-0.139324,-0.309217,1.4119e+11,1.04211e+11,7.0761e+09,6.02574e+09,70.761,70.761,1.4119e+11,1.04211e+11,1.35421e+22,1.43051e-06,-1.86265e-08,-1.60933e-06,3.71578e-07,2.77417,1.7248,-2.84319,1.06806,4.65661e-09,-17.3129,-17.3129,-17.3129,0.0,17.8592,15000,0.0407545,-0.0293155,-0.0993855,0.07007,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
15,0.0621514,-0.0169083,-0.0959679,0.0790596,-51.688301895,6,-39.7053075439,-51.688301895,-65.1166085157,10.4421597709,-0.264702050293,-0.3445886793,-0.434110723438,0.0696143984724,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,96,14400,150,150.0,150,0.0,0.436794,-0.0126966,-0.446974,0.122538,-41.423034185,140,-10.5340360782,-41.423034185,-74.6560412174,14.5147887176,-0.0702269071877,-0.283165272749,-0.497706941449,0.0967062733859,2.77284097672,1.78031329938,-1.18723189831,0.853807645221,2.78021430969,1.79040522661,-2.64495277405,1.00422734567,2.78035879135,1.79475101764,-5.98219585419,0.972299154076,2240,327680,150,146.285714286,98,13.3920475946,3.89055,8.3819e-09,-0.0914835,-0.249899,1.4119e+11,1.04158e+11,7.0761e+09,5.91518e+09,70.761,70.761,1.4119e+11,1.04158e+11,1.37538e+22,1.07288e-06,9.54606e-09,-9.53674e-07,3.5612e-07,2.77819,1.75859,-5.7752,0.981627,2.7474e-08,-16.1135,-16.1135,-16.1135,0.0,16.2328,16000,0.0621514,-0.0169083,-0.0959679,0.0790596,-2.30259,-2.30259,-2.30259,0.0,0.1,0.1,0.1,0.0
